,Unnamed: 0,Title,Artist(s),Track_ID,Genre
0,1,Bridge Over Troubled Water,Simon & Garfunkel,30138418,Pop
1,2,(They Long to Be) Close to You,The Carpenters,31022145,Pop
2,3,American Woman,The Guess Who,87624782,Music
3,4,Raindrops Keep Fallin' on My Head,B.J. Thomas,171306257,Rock
4,5,War,Edwin Starr,missing,missing
5,6,Ain't No Mountain High Enough,Diana Ross,171199679,R&B/Soul
6,7,I'll Be There,The Jackson 5,14000702,Pop
7,8,Get Ready,Rare Earth,missing,missing
8,9,Let It Be,The Beatles,170615484,Pop
9,10,Band of Gold,Freda Payne,44796633,R&B/Soul
10,11,Mama Told Me (Not to Come),Three Dog Night,41621666,Rock
11,12,Everything Is Beautiful,Ray Stevens,102216050,Country
12,13,Make It with You,Bread,91314201,Pop
13,14,Hitchin' a Ride,Vanity Fare,152661925,Rock
14,15,ABC,The Jackson 5,171146549,Disco
15,16,The Love You Save,The Jackson 5,missing,missing
16,17,Cracklin' Rosie,Neil Diamond,156959485,Pop
17,18,Candida,Dawn,126107358,Pop
18,19,Thank You (Falettinme Be Mice Elf Agin),Sly & the Family Stone,48610110,Pop
19,20,Spill the Wine,Eric Burdon & War,missing,missing
20,21,O-o-h Child,Five Stairsteps,missing,missing
21,22,Spirit in the Sky,Norman Greenbaum,169498941,Rock
22,23,Lay Down (Candles in the Rain),Melanie,95951931,Pop
23,24,Ball of Confusion (That's What the World Is Today),The Temptations,90182352,R&B/Soul
24,25,Love on a Two-Way Street,The Moments,missing,missing
25,26,Which Way You Goin' Billy?,The Poppy Family,missing,missing
26,27,All Right Now,Free,91589576,Rock
27,28,I Want You Back,The Jackson 5,missing,missing
28,29,"Julie, Do Ya Love Me",Bobby Sherman,46806491,Pop
29,30,Green-Eyed Lady,Sugarloaf,105451946,Rock
30,31,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,54790727,Soul
31,32,Ride Captain Ride,Blues Image,102360203,Rock
32,33,Venus,Shocking Blue,missing,missing
33,34,Instant Karma!,John Lennon,missing,missing
34,35,Patches,Clarence Carter,89414289,R&B/Soul
35,36,Lookin' out My Back Door,Creedence Clearwater Revival,95560453,Contemporary Country
36,37,Rainy Night in Georgia,Brook Benton,206827234,R&B/Soul
37,38,Something's Burning,Kenny Rogers & The First Edition,18273195,Country
38,39,Give Me Just a Little More Time,Chairmen of the Board,100239269,R&B/Soul
39,40,Love Grows (Where My Rosemary Goes),Edison Lighthouse,17499945,Pop
40,41,The Long and Winding Road,The Beatles,missing,missing
41,42,Snowbird,Anne Murray,93732036,Pop
42,43,Reflections of My Life,Marmalade,211073821,Pop
43,44,Hey There Lonely Girl,Eddie Holman,18833025,R&B/Soul
44,45,The Rapper,The Jaggerz,49971943,R&B/Soul
45,46,"He Ain't Heavy, He's My Brother",The Hollies,159396457,Pop
46,47,"Tighter, Tighter",Alive N Kickin',46315209,Rock
47,48,Come and Get It,Badfinger,76642454,Rock
48,49,Cecilia,Simon & Garfunkel,30915573,Pop
49,50,Love Land,Charles Wright & the Watts 103rd Street Rhythm Band,54793000,R&B/Soul
50,51,Turn Back the Hands of Time,Tyrone Davis,130391257,R&B/Soul
51,52,Lola,The Kinks,missing,missing
52,53,In the Summertime,Mungo Jerry,89178262,Folk
53,54,Indiana Wants Me,R. Dean Taylor,15122136,Rock
54,55,(I Know) I'm Losing You,Rare Earth,missing,missing
55,56,"Easy Come, Easy Go",Bobby Sherman,46806429,Pop
56,57,Express Yourself,Charles Wright & the Watts 103rd Street Rhythm Band,missing,missing
57,58,Still Water (Love),The Four Tops,missing,missing
58,59,Make Me Smile,Chicago,88781089,Rock
59,60,The House of the Rising Sun,Frijid Pink,missing,missing
60,61,25 or 6 to 4,Chicago,missing,missing
61,62,My Baby Loves Lovin',White Plains,101385656,Pop
62,63,Love or Let Me Be Lonely,The Friends of Distinction,missing,missing
63,64,United We Stand,The Brotherhood of Man,180645242,Pop
64,65,We've Only Just Begun,The Carpenters,missing,missing
65,66,Arizona,Mark Lindsay,101176225,Rock
66,67,Fire and Rain,James Taylor,195159479,Traditional Folk
67,68,Groovy Situation,Gene Chandler,100587770,R&B/Soul
68,69,Evil Ways,Santana,missing,missing
